year,metric,season,temperature_c,in_common_window,baseline_period,missing_type
1685,mean,spring,8.67,FALSE,NA,observed
1685,mean,summer,14.33,FALSE,NA,observed
1685,mean,autumn,10.02,FALSE,NA,observed
1685,mean,annual,9.16,FALSE,NA,observed
1686,mean,winter,6.34,FALSE,NA,observed
1686,mean,spring,9.34,FALSE,NA,observed
1686,mean,summer,15.5,FALSE,NA,observed
1686,mean,autumn,9.49,FALSE,NA,observed
1686,mean,annual,10.15,FALSE,NA,observed
1687,mean,winter,4.67,FALSE,NA,observed
1687,mean,spring,7.34,FALSE,NA,observed
1687,mean,summer,14.52,FALSE,NA,observed
1687,mean,autumn,9.35,FALSE,NA,observed
1687,mean,annual,8.99,FALSE,NA,observed
1688,mean,winter,3.71,FALSE,NA,observed
1688,mean,spring,6.51,FALSE,NA,observed
1688,mean,summer,14.52,FALSE,NA,observed
1688,mean,autumn,7.66,FALSE,NA,observed
1688,mean,annual,7.86,FALSE,NA,observed
1689,mean,winter,2.61,FALSE,NA,observed
1689,mean,spring,8,FALSE,NA,observed
1689,mean,summer,14.36,FALSE,NA,observed
1689,mean,autumn,8.66,FALSE,NA,observed
1689,mean,annual,8.56,FALSE,NA,observed
1690,mean,winter,4.33,FALSE,NA,observed
1690,mean,spring,7.33,FALSE,NA,observed
1690,mean,summer,14.68,FALSE,NA,observed
1690,mean,autumn,9.32,FALSE,NA,observed
1690,mean,annual,8.94,FALSE,NA,observed
1691,mean,winter,2.21,FALSE,NA,observed
1691,mean,spring,7.17,FALSE,NA,observed
1691,mean,summer,15.17,FALSE,NA,observed
1691,mean,autumn,8.34,FALSE,NA,observed
1691,mean,annual,8.17,FALSE,NA,observed
1692,mean,winter,1.87,FALSE,NA,observed
1692,mean,spring,6.83,FALSE,NA,observed
1692,mean,summer,14.51,FALSE,NA,observed
1692,mean,autumn,7.65,FALSE,NA,observed
1692,mean,annual,7.73,FALSE,NA,observed
1693,mean,winter,3.79,FALSE,NA,observed
1693,mean,spring,6.16,FALSE,NA,observed
1693,mean,summer,14.84,FALSE,NA,observed
1693,mean,autumn,9.17,FALSE,NA,observed
1693,mean,annual,8.47,FALSE,NA,observed
1694,mean,winter,2.59,FALSE,NA,observed
1694,mean,spring,6.66,FALSE,NA,observed
1694,mean,summer,13.67,FALSE,NA,observed
1694,mean,autumn,7.83,FALSE,NA,observed
1694,mean,annual,7.67,FALSE,NA,observed
1695,mean,winter,0.67,FALSE,NA,observed
1695,mean,spring,6.01,FALSE,NA,observed
1695,mean,summer,13.17,FALSE,NA,observed
1695,mean,autumn,8.67,FALSE,NA,observed
1695,mean,annual,7.29,FALSE,NA,observed
1696,mean,winter,4.67,FALSE,NA,observed
1696,mean,spring,6.51,FALSE,NA,observed
1696,mean,summer,14.68,FALSE,NA,observed
1696,mean,autumn,8.67,FALSE,NA,observed
1696,mean,annual,8.52,FALSE,NA,observed
1697,mean,winter,1.36,FALSE,NA,observed
1697,mean,spring,8.01,FALSE,NA,observed
1697,mean,summer,14.35,FALSE,NA,observed
1697,mean,autumn,8.34,FALSE,NA,observed
1697,mean,annual,8.05,FALSE,NA,observed
1698,mean,winter,1.02,FALSE,NA,observed
1698,mean,spring,6.49,FALSE,NA,observed
1698,mean,summer,14.02,FALSE,NA,observed
1698,mean,autumn,8.67,FALSE,NA,observed
1698,mean,annual,7.67,FALSE,NA,observed
1699,mean,winter,3.43,FALSE,NA,observed
1699,mean,spring,6.77,FALSE,NA,observed
1699,mean,summer,15.55,FALSE,NA,observed
1699,mean,autumn,9.43,FALSE,NA,observed
1699,mean,annual,8.83,FALSE,NA,observed
1700,mean,winter,3.36,FALSE,NA,observed
1700,mean,spring,7.34,FALSE,NA,observed
1700,mean,summer,14.54,FALSE,NA,observed
1700,mean,autumn,8.9,FALSE,NA,observed
1700,mean,annual,8.62,FALSE,NA,observed
1701,mean,winter,3.19,FALSE,NA,observed
1701,mean,spring,6.15,FALSE,NA,observed
1701,mean,summer,16.22,FALSE,NA,observed
1701,mean,autumn,9.51,FALSE,NA,observed
1701,mean,annual,8.75,FALSE,NA,observed
1702,mean,winter,5.05,FALSE,NA,observed
1702,mean,spring,7.42,FALSE,NA,observed
1702,mean,summer,14.82,FALSE,NA,observed
1702,mean,autumn,9.6,FALSE,NA,observed
1702,mean,annual,9.31,FALSE,NA,observed
1703,mean,winter,3.49,FALSE,NA,observed
1703,mean,spring,8.6,FALSE,NA,observed
1703,mean,summer,15.38,FALSE,NA,observed
1703,mean,autumn,8.53,FALSE,NA,observed
1703,mean,annual,9.09,FALSE,NA,observed
1704,mean,winter,3.47,FALSE,NA,observed
1704,mean,spring,8.37,FALSE,NA,observed
1704,mean,summer,16.02,FALSE,NA,observed
1704,mean,autumn,8.86,FALSE,NA,observed
1704,mean,annual,9.07,FALSE,NA,observed
1705,mean,winter,3.42,FALSE,NA,observed
1705,mean,spring,7.8,FALSE,NA,observed
1705,mean,summer,15.13,FALSE,NA,observed
1705,mean,autumn,8.24,FALSE,NA,observed
1705,mean,annual,8.75,FALSE,NA,observed
1706,mean,winter,3.79,FALSE,NA,observed
1706,mean,spring,9.17,FALSE,NA,observed
1706,mean,summer,16.14,FALSE,NA,observed
1706,mean,autumn,9.95,FALSE,NA,observed
1706,mean,annual,9.82,FALSE,NA,observed
1707,mean,winter,3.76,FALSE,NA,observed
1707,mean,spring,8.16,FALSE,NA,observed
1707,mean,summer,16.34,FALSE,NA,observed
1707,mean,autumn,9.65,FALSE,NA,observed
1707,mean,annual,9.41,FALSE,NA,observed
1708,mean,winter,4.51,FALSE,NA,observed
1708,mean,spring,8.83,FALSE,NA,observed
1708,mean,summer,15.35,FALSE,NA,observed
1708,mean,autumn,10.15,FALSE,NA,observed
1708,mean,annual,9.68,FALSE,NA,observed
1709,mean,winter,1.14,FALSE,NA,observed
1709,mean,spring,7.99,FALSE,NA,observed
1709,mean,summer,15.17,FALSE,NA,observed
1709,mean,autumn,10.33,FALSE,NA,observed
1709,mean,annual,8.74,FALSE,NA,observed
1710,mean,winter,3.16,FALSE,NA,observed
1710,mean,spring,8.02,FALSE,NA,observed
1710,mean,summer,15.01,FALSE,NA,observed
1710,mean,autumn,10.32,FALSE,NA,observed
1710,mean,annual,9.49,FALSE,NA,observed
1711,mean,winter,4.93,FALSE,NA,observed
1711,mean,spring,8.66,FALSE,NA,observed
1711,mean,summer,15.33,FALSE,NA,observed
1711,mean,autumn,9.83,FALSE,NA,observed
1711,mean,annual,9.42,FALSE,NA,observed
1712,mean,winter,3.82,FALSE,NA,observed
1712,mean,spring,7.84,FALSE,NA,observed
1712,mean,summer,15.34,FALSE,NA,observed
1712,mean,autumn,9.5,FALSE,NA,observed
1712,mean,annual,9.14,FALSE,NA,observed
1713,mean,winter,4.12,FALSE,NA,observed
1713,mean,spring,6.85,FALSE,NA,observed
1713,mean,summer,14.17,FALSE,NA,observed
1713,mean,autumn,9.34,FALSE,NA,observed
1713,mean,annual,8.64,FALSE,NA,observed
1714,mean,winter,4.47,FALSE,NA,observed
1714,mean,spring,7.5,FALSE,NA,observed
1714,mean,summer,15.85,FALSE,NA,observed
1714,mean,autumn,9.84,FALSE,NA,observed
1714,mean,annual,9.44,FALSE,NA,observed
1715,mean,winter,4.31,FALSE,NA,observed
1715,mean,spring,8.99,FALSE,NA,observed
1715,mean,summer,14.84,FALSE,NA,observed
1715,mean,autumn,10.34,FALSE,NA,observed
1715,mean,annual,9.44,FALSE,NA,observed
1716,mean,winter,0.79,FALSE,NA,observed
1716,mean,spring,7.99,FALSE,NA,observed
1716,mean,summer,15.01,FALSE,NA,observed
1716,mean,autumn,9.17,FALSE,NA,observed
1716,mean,annual,8.38,FALSE,NA,observed
1717,mean,winter,3.36,FALSE,NA,observed
1717,mean,spring,7.67,FALSE,NA,observed
1717,mean,summer,14.84,FALSE,NA,observed
1717,mean,autumn,9.5,FALSE,NA,observed
1717,mean,annual,9.04,FALSE,NA,observed
1718,mean,winter,3.17,FALSE,NA,observed
1718,mean,spring,8.01,FALSE,NA,observed
1718,mean,summer,16.18,FALSE,NA,observed
1718,mean,autumn,9.83,FALSE,NA,observed
1718,mean,annual,9.29,FALSE,NA,observed
1719,mean,winter,3.83,FALSE,NA,observed
1719,mean,spring,7.84,FALSE,NA,observed
1719,mean,summer,16.68,FALSE,NA,observed
1719,mean,autumn,9.83,FALSE,NA,observed
1719,mean,annual,9.49,FALSE,NA,observed
1720,mean,winter,4,FALSE,NA,observed
1720,mean,spring,7.5,FALSE,NA,observed
1720,mean,summer,14.68,FALSE,NA,observed
1720,mean,autumn,9.49,FALSE,NA,observed
1720,mean,annual,9.1,FALSE,NA,observed
1721,mean,winter,3.89,FALSE,NA,observed
1721,mean,spring,7.15,FALSE,NA,observed
1721,mean,summer,15.18,FALSE,NA,observed
1721,mean,autumn,9.66,FALSE,NA,observed
1721,mean,annual,8.91,FALSE,NA,observed
1722,mean,winter,4.48,FALSE,NA,observed
1722,mean,spring,8.01,FALSE,NA,observed
1722,mean,summer,14.67,FALSE,NA,observed
1722,mean,autumn,10.43,FALSE,NA,observed
1722,mean,annual,9.37,FALSE,NA,observed
1723,mean,winter,3.09,FALSE,NA,observed
1723,mean,spring,9.37,FALSE,NA,observed
1723,mean,summer,15.3,FALSE,NA,observed
1723,mean,autumn,10.64,FALSE,NA,observed
1723,mean,annual,9.8,FALSE,NA,observed
1724,mean,winter,5.22,FALSE,NA,observed
1724,mean,spring,7.77,FALSE,NA,observed
1724,mean,summer,15.5,FALSE,NA,observed
1724,mean,autumn,9.42,FALSE,NA,observed
1724,mean,annual,9.28,FALSE,NA,observed
1725,mean,winter,3.68,FALSE,NA,observed
1725,mean,spring,7.97,FALSE,NA,observed
1725,mean,summer,13.11,FALSE,NA,observed
1725,mean,autumn,9.7,FALSE,NA,observed
1725,mean,annual,8.69,FALSE,NA,observed
1726,mean,winter,3.03,FALSE,NA,observed
1726,mean,spring,8.67,FALSE,NA,observed
1726,mean,summer,16,FALSE,NA,observed
1726,mean,autumn,10.33,FALSE,NA,observed
1726,mean,annual,9.36,FALSE,NA,observed
1727,mean,winter,3.62,FALSE,NA,observed
1727,mean,spring,9.3,FALSE,NA,observed
1727,mean,summer,16.25,FALSE,NA,observed
1727,mean,autumn,9.98,FALSE,NA,observed
1727,mean,annual,9.97,FALSE,NA,observed
1728,mean,winter,3.32,FALSE,NA,observed
1728,mean,spring,9.31,FALSE,NA,observed
1728,mean,summer,16.43,FALSE,NA,observed
1728,mean,autumn,9.69,FALSE,NA,observed
1728,mean,annual,9.54,FALSE,NA,observed
1729,mean,winter,1.68,FALSE,NA,observed
1729,mean,spring,6.73,FALSE,NA,observed
1729,mean,summer,15.88,FALSE,NA,observed
1729,mean,autumn,11.58,FALSE,NA,observed
1729,mean,annual,9.29,FALSE,NA,observed
1730,mean,winter,4.6,FALSE,NA,observed
1730,mean,spring,9.1,FALSE,NA,observed
1730,mean,summer,15.21,FALSE,NA,observed
1730,mean,autumn,11.79,FALSE,NA,observed
1730,mean,annual,10.07,FALSE,NA,observed
1731,mean,winter,2.51,FALSE,NA,observed
1731,mean,spring,8.32,FALSE,NA,observed
1731,mean,summer,16.21,FALSE,NA,observed
1731,mean,autumn,11.81,FALSE,NA,observed
1731,mean,annual,9.9,FALSE,NA,observed
1732,mean,winter,4.63,FALSE,NA,observed
1732,mean,spring,8.8,FALSE,NA,observed
