metric,year,season,temperature_c,baseline_period,in_common_window,robust_z,iqr_lower,iqr_upper,flag_outlier_mad,flag_outlier_iqr
max,1879,winter,3.17,NA,TRUE,-2.998169907731226,3.4062499999999982,10.496250000000002,FALSE,TRUE
max,1963,winter,2.48,1961_1990,TRUE,-3.5362029991056207,3.4062499999999982,10.496250000000002,TRUE,TRUE
max,1976,summer,23.42,1961_1990,TRUE,3.130328909365747,16.707499999999996,22.887500000000003,FALSE,TRUE
max,2006,autumn,16.16,1991_2020,TRUE,2.8067518700800287,11.002500000000001,16.062499999999996,FALSE,TRUE
max,1879,annual,10.54,NA,TRUE,-3.127184430300575,11.025000000000002,15.465,FALSE,TRUE
mean,1684,winter,-1.17,NA,FALSE,-3.781695381784507,0.24999999999999956,7.370000000000001,TRUE,TRUE
mean,1740,winter,-0.37,NA,FALSE,-3.1754115530414997,0.24999999999999956,7.370000000000001,FALSE,TRUE
mean,1963,winter,-0.32,1961_1990,TRUE,-3.137518813745062,0.24999999999999956,7.370000000000001,FALSE,TRUE
mean,1837,spring,5.64,NA,FALSE,-2.8021526674190254,5.733749999999999,10.683750000000002,FALSE,TRUE
mean,1725,summer,13.11,NA,FALSE,-2.6437628875912997,13.114999999999998,17.555000000000003,FALSE,TRUE
mean,1826,summer,17.61,NA,FALSE,2.7762521439170587,13.114999999999998,17.555000000000003,FALSE,TRUE
mean,1976,summer,17.72,1961_1990,TRUE,2.908741400242818,13.114999999999998,17.555000000000003,FALSE,TRUE
mean,1786,autumn,7.46,NA,FALSE,-2.5449273193696715,7.464999999999999,12.065000000000001,FALSE,TRUE
mean,2006,autumn,12.64,1991_2020,TRUE,3.3271098807795045,7.464999999999999,12.065000000000001,FALSE,TRUE
mean,2011,autumn,12.41,1991_2020,TRUE,3.06638236030956,7.464999999999999,12.065000000000001,FALSE,TRUE
mean,2022,autumn,12.16,NA,TRUE,2.7829828815378814,7.464999999999999,12.065000000000001,FALSE,TRUE
mean,2023,autumn,12.19,NA,TRUE,2.816990818990482,7.464999999999999,12.065000000000001,FALSE,TRUE
mean,1695,annual,7.29,NA,FALSE,-3.0086835001371677,7.547499999999999,11.0475,FALSE,TRUE
mean,1740,annual,6.86,NA,FALSE,-3.6604386160358993,7.547499999999999,11.0475,TRUE,TRUE
mean,1879,annual,7.44,NA,TRUE,-2.78132706435854,7.547499999999999,11.0475,FALSE,TRUE
mean,2022,annual,11.18,NA,TRUE,2.8874267343885704,7.547499999999999,11.0475,FALSE,TRUE
mean,2023,annual,11.13,NA,TRUE,2.811641255795696,7.547499999999999,11.0475,FALSE,TRUE
min,1963,winter,-3.13,1961_1990,TRUE,-3.7467376870347273,-1.9549999999999992,5.184999999999999,TRUE,TRUE
min,1887,spring,2.29,NA,TRUE,-2.69796303790638,2.297500000000001,6.597499999999998,FALSE,TRUE
min,2024,spring,6.94,NA,TRUE,3.219738908444878,2.297500000000001,6.597499999999998,FALSE,TRUE
min,1919,autumn,4.15,NA,TRUE,-2.9937923183785697,4.3475,9.087499999999999,FALSE,TRUE
min,2006,autumn,9.11,1991_2020,TRUE,2.875460606189694,4.3475,9.087499999999999,FALSE,TRUE
min,1879,annual,4.33,NA,TRUE,-3.072680126504486,4.532500000000001,7.3925,FALSE,TRUE
min,1887,annual,4.36,NA,TRUE,-3.0164725632147693,4.532500000000001,7.3925,FALSE,TRUE
min,1892,annual,4.49,NA,TRUE,-2.7729064556259995,4.532500000000001,7.3925,FALSE,TRUE
